sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	vaccine	pubmedID_edit	pubmed_update	notes
MG458306	AL_Cosmopolitan_CE	Cosmopolitan CE	CZE	Czechia	-	-	-	2018	11924	31-Jan-18	31-Jan-18	Vulpes vulpes	29357361	RV860	Czechia	unchanged	-	unchanged	-	unchanged	-	unchanged	2018	unchanged	Vulpes vulpes	unchanged		no	no	29357361	unchanged	
KF154997	AL_Cosmopolitan_NEE	Cosmopolitan NEE	EST	Estonia	-	-	-	2013	11923	14-Jul-13	14-Jul-13	Canis familiaris	23822119	RV437	Estonia	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	Nyctereutes procyonoides	updated		no	no	23822119	unchanged	
LT909526	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	2018	11923	29-Jan-18	29-Jan-18	-	-	13162	Iran	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
LT909532	AL_Cosmopolitan_NEE	Cosmopolitan NEE	-	-	-	-	-	2018	11923	29-Jan-18	29-Jan-18	-	-	12929	Poland	filled in	-	unchanged	1994	filled in	1994	filled in	1994	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
LT909533	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	2018	11923	29-Jan-18	29-Jan-18	-	-	13044	Saudi Arabia	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
LT909537	AL_Cosmopolitan_NEE	Cosmopolitan NEE	-	-	-	-	-	2018	11923	29-Jan-18	29-Jan-18	-	-	12951	Estonia	filled in	-	unchanged	2000	filled in	2000	filled in	2000	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
LT909538	AL_Cosmopolitan_NEE	Cosmopolitan NEE	-	-	-	-	-	2018	11923	29-Jan-18	29-Jan-18	-	-	12989	Finland	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
LT909540	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	2018	11923	29-Jan-18	29-Jan-18	-	-	13043	Saudi Arabia	filled in	-	unchanged	1987	filled in	1987	filled in	1987	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
LT909547	AL_Cosmopolitan_CE	Cosmopolitan CE	-	-	-	-	-	2018	11923	29-Jan-18	29-Jan-18	-	-	13284	Germany	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AF325464	AL_Cosmopolitan_CE	Cosmopolitan CE	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	POL1-RD	Poland	filled in	-	unchanged	1985	filled in	1985	filled in	1985	updated	Nyctereutes procyonoides	filled in		no	no	11483755	unchanged	
AY854580	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	IRN	Iran	-	-	-	2005	1463	30-Apr-05	30-Apr-05	-	12948379	V685	Iran	unchanged	Khash	filled in	2000	filled in	2000	filled in	2000	updated	Capra aegagrus hircus	filled in		no	no	12948379	unchanged	
AY854585	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	IRN	Iran	-	-	-	2005	1456	30-Apr-05	30-Apr-05	-	12948379	V715	Iran	unchanged	Estahban	filled in	2000	filled in	2000	filled in	2000	updated	Canis aureus	filled in		no	no	12948379	unchanged	
AY854584	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	IRN	Iran	-	-	-	2005	1455	30-Apr-05	30-Apr-05	-	12948379	V711	Iran	unchanged	Hashtroud	filled in	2000	filled in	2000	filled in	2000	updated	Canis lupus familiaris	filled in		no	no	12948379	unchanged	
U42701	AL_Cosmopolitan_CE	Cosmopolitan CE	-	-	-	-	-	1999	1443	05-Jan-99	29-Jan-99	-	-	9202ALL	Germany	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	filled in		no	no	18931062	filled in	
U42704	AL_Cosmopolitan_EE	Cosmopolitan EE	-	-	-	-	-	1999	1443	05-Jan-99	29-Jan-99	-	-	8653YOU	Bosnia	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis lupus	filled in		no	no	18931062	filled in	
U42707	AL_Cosmopolitan_NEE	Cosmopolitan NEE	-	-	-	-	-	1999	1443	05-Jan-99	29-Jan-99	-	-	9339EST	Estonia	filled in	-	unchanged	-	unchanged	-	unchanged	1999	unchanged	Nyctereutes procyonoides	filled in		no	no	-	unchanged	Found in CDC by googling
U43432	AL_Cosmopolitan_NEE	Cosmopolitan NEE	-	-	-	-	-	1999	1443	05-Jan-99	29-Jan-99	-	-	9342EST	Estonia	filled in	-	unchanged	-	unchanged	-	unchanged	1999	unchanged	-	unchanged		no	no	-	unchanged	From ID
AY854582	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	IRN	Iran	-	-	-	2005	1428	30-Apr-05	30-Apr-05	-	12948379	V699	Iran	unchanged	Masjid Soleiman	filled in	2000	filled in	2000	filled in	2000	updated	Bos taurus	filled in		no	no	12948379	unchanged	
AY352474	AL_Cosmopolitan_NEE	Cosmopolitan NEE	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	RV1596	Russia	filled in	Pskov	filled in	-	unchanged	-	unchanged	2004	unchanged	Vulpes vulpes	filled in		no	no	15650080	unchanged	
AY352475	AL_Cosmopolitan_NEE	Cosmopolitan NEE	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	RV245	Russia	filled in	Pskov	filled in	-	unchanged	-	unchanged	2004	unchanged	Homo sapiens	filled in		no	no	15650080	unchanged	
U22475	AL_Cosmopolitan_CE	Cosmopolitan CE	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	9212ALL	Germany	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	filled in		no	no	7778285	unchanged	
U22476	AL_Cosmopolitan_NEE	Cosmopolitan NEE	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	9142EST	Estonia	filled in	-	unchanged	1985	filled in	1985	filled in	1985	updated	Nyctereutes procyonoides	filled in		no	no	7778285	unchanged	
U22480	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	9135OMA	Oman	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	filled in		no	no	7778285	unchanged	
