sequenceID	updated_host	iso_source	minor_clade	major_clade	collection_month	collection_month_day	collection_year	vaccine_strain	isolate
AY561819	Agouti paca	Agouti paca	-	Cosmopolitan	-	-	-	-	4463yuctepz99
AY561820	Agouti paca	Agouti paca	-	Cosmopolitan	-	-	-	-	4464yuctepz99
AB206423	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv1
AB206429	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv10
AB206430	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv11
AB206431	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv12
AB206432	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv13
AB206433	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv14
AB206434	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv15
AB206435	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv16
AB206436	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv18
AB206424	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv2
AB206425	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv3
AB206426	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv5
AB206427	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv7
AB206428	Bos taurus	bovine	DR	Bats	-	-	-	-	BR-Pbv8
AB516691	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1001
AB516692	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1005
AB516693	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1006
AB516694	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1008
AB516695	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1009
AB516696	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1010
AB516697	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1012
AB516698	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1013
AB516699	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1016
AB516700	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1017
AB516701	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1018
AB516702	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1019
AB516703	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1020
AB516704	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1021
AB516705	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1022
AB516706	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1023
AB516707	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1024
AB516708	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1025
AB516709	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1026
AB516710	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1028
AB516711	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1029
AB516712	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1030
AB516713	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1031
AB516714	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1032
AB516715	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1033
AB516716	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1034
AB516717	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1035
AB516718	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1038
