Number	sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	Notes
144	EF542830	AL_Cosmopolitan	Cosmopolitan	RUS	Russia	-	-	-	2008	11932	14-Jan-08	25-Feb-08	-	18187223	RV-97	Russia	unchanged	-	unchanged	-	unchanged	-	unchanged	2008	unchanged	-	unchanged		no	yes	18187223	unchanged	Vaccine strain
172	KM198893	AL_Cosmopolitan	Cosmopolitan	RUS	Russia	-	-	-	2014	11932	25-Oct-14	25-Oct-14	-	-	Moscow 3253	Russia	unchanged	-	unchanged	-	unchanged	-	unchanged	2014	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine strain
150	GQ918139	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2010	11927	30-Jun-10	30-Jun-10	-	-	CVS-11	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2010	unchanged	-	unchanged		yes	no	-	unchanged	Strain
161	HM535790	AL_Cosmopolitan	Cosmopolitan	USA	United States	-	-	-	2010	11927	29-Nov-10	29-Dec-10	-	21068252	CVS-N2c	United States	unchanged	-	unchanged	-	unchanged	-	unchanged	2010	unchanged	-	unchanged		yes	no	21068252	unchanged	Constructed infectious strain
162	HQ891318	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2011	11927	02-Aug-11	23-Jan-13	-	23265241	B2c	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2011	unchanged	-	unchanged		yes	no	23265241	unchanged	Constructed infectious strain
164	JQ944709	AL_Cosmopolitan	Cosmopolitan	ETH	Ethiopia	-	2008	2008	2008	11927	14-Jul-12	14-Jul-12	-	-	EPHVAC	Ethiopia	unchanged	-	unchanged	2008	unchanged	2008	unchanged	2008	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine strain
190	LC325820	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2018	11927	14-Feb-18	14-Feb-18	-	-	CVS	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2018	unchanged	-	unchanged		yes	no	29529215	filled in	Constructed infectious strain
191	LT839616	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2017	11927	21-Jun-17	21-Jun-17	-	-	35009	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2017	unchanged	-	unchanged		yes	no	-	unchanged	
2	AB009663	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1997	11926	25-Dec-97	28-May-13	-	11270607	RC-HL	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1997	unchanged	-	unchanged		no	yes	11270607	unchanged	
4	AB044824	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2000	11926	21-Jun-00	28-May-13	-	11270607	Nishigahara	Japan	filled in	-	unchanged	-	unchanged	-	unchanged	2000	unchanged	-	unchanged		yes	no	11270607	unchanged	Grown in hamster kidney, infect mouse in lab
7	AB128149	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	11926	10-Dec-03	28-May-13	-	17010466	Ni-CE	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2003	unchanged	-	unchanged		yes	no	17010466	unchanged	Strain edited for mouse innoculation 
151	GU565703	AL_Cosmopolitan	Cosmopolitan	-	-	-	1948	1948	1948	11925	24-Mar-10	10-Aug-10	-	20538851	Flury-LEP	-	unchanged	-	unchanged	1948	unchanged	1948	unchanged	1948	unchanged	-	unchanged		no	yes	20538851	unchanged	Vaccine strain
152	GU565704	AL_Cosmopolitan	Cosmopolitan	-	-	-	1948	1948	1948	11925	24-Mar-10	10-Aug-10	-	20538851	Flury-HEP	-	unchanged	-	unchanged	1948	unchanged	1948	unchanged	1948	unchanged	-	unchanged		no	yes	20538851	unchanged	Vaccine strain
192	LT909530	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2018	11925	29-Jan-18	29-Jan-18	-	-	13251	Chile	filled in	-	unchanged	1979	filled in	1979	filled in	1979	updated	Homo sapiens	filled in		no	no	29357361	filled in	
193	LT909543	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2018	11925	29-Jan-18	29-Jan-18	-	-	13249	Chile	filled in	-	unchanged	1973	filled in	1973	filled in	1973	updated	-	unchanged		no	no	29357361	filled in	Dog or Human
149	FJ577895	AL_Cosmopolitan	Cosmopolitan	CHN	China	-	-	-	2009	11924	26-Jan-09	29-Apr-10	-	20423522	Flury-LEP-C	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2009	unchanged	-	unchanged		no	yes	20423522	unchanged	Vaccine strain
142	DQ875050	AL_Cosmopolitan	Cosmopolitan	CHN	China	Henan province	-	-	2006	11869	06-Sep-06	25-Nov-08	-	-	MRV	China	unchanged	Henan province	unchanged	-	unchanged	-	unchanged	2006	unchanged	-	unchanged		no	no	-	unchanged	
143	DQ875051	AL_Cosmopolitan	Cosmopolitan	CHN	China	Jilin province	-	-	2006	11863	06-Sep-06	25-Nov-08	-	-	DRV	China	unchanged	Jilin province	unchanged	-	unchanged	-	unchanged	2006	unchanged	-	unchanged		no	no	-	unchanged	
139	DQ099525	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2005	11723	17-Jul-05	17-Jul-05	-	-	PM1503	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2005	unchanged	-	unchanged		yes	no	-	unchanged	strain.
138	DQ099524	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2005	11711	17-Jul-05	17-Jul-05	-	-	FluryLEP	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2005	unchanged	-	unchanged		no	yes	-	unchanged	strain.
10	AB839170	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2013	11634	27-Jul-13	28-Nov-13	-	24244660	rHEP5.0-CVSG	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	-	unchanged		yes	no	24244660	unchanged	Lab created transgene
6	AB085828	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	11615	07-Jan-03	01-Aug-03	-	12505638	HEP-Flury	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2003	unchanged	-	unchanged		yes	no	12505638	unchanged	Avirulent strain used for cDNA cloning
9	AB839169	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2013	10015	27-Jul-13	28-Nov-13	-	24244660	rHEP5.0-delG	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	-	unchanged		yes	no	24244660	unchanged	Virus vector transgene
1	AB009601	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1997	6545	25-Dec-97	28-May-13	-	-	RC-HL	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1997	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine strain
205	X13357	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1990	3385	14-Jan-90	26-Jul-16	-	3147698	AVO1 (avirulent)	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1990	unchanged	-	unchanged		yes	no	3147698	unchanged	Avirulent strain, lab cultured in hamster kidney
170	KF871428	AL_Cosmopolitan	Cosmopolitan	RUS	Russia	-	-	-	2014	2229	10-Feb-14	10-Feb-14	-	-	Moscow 3253	Russia	unchanged	-	unchanged	-	unchanged	-	unchanged	2014	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine strain
196	M32751	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1993	2140	03-Aug-93	15-Jun-90	-	2596027	-	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1993	unchanged	-	unchanged		no	yes	2596027	unchanged	HEP-Flury strain
16	AF325471	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	CHI1-BK	China	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Cervidae	filled in	Buck	no	no	11483755	unchanged	
199	S72465	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1995	2056	23-Jan-95	24-Jul-18	-	8209421	Nishigahara	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1995	unchanged	-	unchanged		no	yes	8209421	unchanged	Dog vaccine strain
208	X69061	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1992	2042	11-Nov-92	11-Nov-92	-	-	Flury strain	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1992	unchanged	-	unchanged		no	yes	-	unchanged	Flury strain
209	X69122	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1992	2042	10-Nov-92	03-Dec-92	-	-	Flury	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1992	unchanged	-	unchanged		no	yes	-	unchanged	Flury strain
187	L40426	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1995	1667	09-Mar-95	07-Mar-95	-	6297004	-	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1995	unchanged	-	unchanged		yes	no	6297004	unchanged	Biosynthesis in E. coli
134	D16330	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1993	1655	26-Jul-93	28-May-13	-	7968680	RC-HL	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1993	unchanged	-	unchanged		no	yes	7968680	unchanged	Vaccine strain
32	AJ506997	AL_Cosmopolitan	Cosmopolitan	IND	India	-	-	-	2002	1585	29-Aug-02	29-Aug-02	-	-	CVS	India	unchanged	-	unchanged	-	unchanged	-	unchanged	2002	unchanged	Mus	filled in	Mouse	no	yes	-	unchanged	Vaccine strain, lab host = mouse
11	AF042823	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1998	1575	26-Jan-98	04-Oct-99	-	9501231	CVS-N2c	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1998	unchanged	Mus	filled in	Mouse	yes	no	9501231	unchanged	Mouse brain or neuroblastoma passaged strain
12	AF042824	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1998	1575	26-Jan-98	04-Oct-99	-	9501231	CVS-B2c	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1998	unchanged	Mus	filled in	Mouse	yes	no	9501231	unchanged	Mouse adapted strain
17	AF325714	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2001	1575	07-Feb-01	07-Feb-01	-	-	CVS-N2c	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Mus	filled in	Mouse	yes	no	-	unchanged	Mouse brain or neuroblastoma passaged strain
33	AJ871962	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2005	1575	07-Jan-05	31-Mar-06	-	-	Pitman Moore	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2005	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine strain
34	AY009097	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2000	1575	03-Dec-00	01-Jan-00	-	-	PG	China	filled in	-	unchanged	1931	filled in	1931	filled in	1931	updated	Canis lupus familiaris	filled in		no	yes	-	unchanged	Vaccine strain, found in 21375773
126	AY683208	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2007	1575	30-Jul-07	31-Jul-07	-	-	RV-97	-	unchanged	-	unchanged	2004	filled in	2004	filled in	2004	updated	-	unchanged		no	no	-	unchanged	Genbank says submitted 2004; no later than this
133	D14873	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1993	1575	11-Jun-93	16-Feb-08	-	-	RC-HL	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1993	unchanged	-	unchanged		no	yes	-	unchanged	No information, but from isolate name can infer vaccine strain
146	EU126641	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2007	1575	17-Sep-07	17-Sep-07	-	-	CVS-11	France	filled in	-	unchanged	1882	filled in	1882	filled in	1882	updated	Bos	filled in	Cow	no	no	-	unchanged	Not information in genbank, but found in different article 
148	EU352767	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2008	1575	15-Sep-08	15-Sep-08	-	18753230	CVS-11	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2008	unchanged	-	unchanged		yes	no	18753230	unchanged	Challenge virus standard
169	KF733452	AL_Cosmopolitan	Cosmopolitan	FRA	France	-	2013	2013	2013	1575	24-Dec-13	24-Dec-13	-	-	CVS-11_12-10	France	unchanged	-	unchanged	2013	unchanged	2013	unchanged	2013	unchanged	-	unchanged		yes	no	-	unchanged	Challenge virus standard
174	KR105372	AL_Cosmopolitan	Cosmopolitan	IND	India	-	2014	2014	2014	1575	04-Oct-15	08-Dec-15	-	26645040	CVS-11/BHK-21/IVRI	India	unchanged	-	unchanged	2014	unchanged	2014	unchanged	2014	unchanged	-	unchanged		yes	no	26645040	unchanged	BHK-21 adapted CVS strain
186	L04522	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1993	1575	03-Aug-93	04-Mar-93	-	8460524	Chinese vaccine strain 3aG	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1993	unchanged	-	unchanged		no	yes	8460524	unchanged	Vaccine strain - isolate name
188	LC009634	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2014	1575	12-Nov-14	12-Nov-14	-	-	CVS-26	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2014	unchanged	-	unchanged		yes	no	-	unchanged	CVS - isolate name
