Number	sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	vaccine	pubmedID_edit	pubmed_update	Notes
155	AB517660	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2012	11925	02-Feb-12	02-Feb-12	-	-	BR-Pfx3	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2012	unchanged	Vulpes	filled in	Fox	no	no	-	unchanged	Fox
144	AB362483	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2009	11924	29-Sep-09	15-Jan-11	Dusicyon sp.	19701711	BR-Pfx1	Brazil	unchanged	Paraiba	filled in	-	unchanged	-	unchanged	2009	unchanged	Dusicyon sp.	unchanged		no	no	19701711	unchanged	
770	HQ450386	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	-	-	-	2011	11924	04-Jan-11	12-Sep-12	Canis familiaris	22966186	DRV-Mexico	Mexico	unchanged	-	unchanged	-	unchanged	-	unchanged	2011	unchanged	Canis familiaris	unchanged		no	no	22966186	unchanged	
789	LT909544	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	-	-	-	-	-	2018	11924	29-Jan-18	29-Jan-18	-	-	13212	Mexico	filled in	-	unchanged	2002	filled in	2002	filled in	2002	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	https://dx.doi.org/10.1371%2Fjournal.pntd.0006182
154	AB517659	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2012	11923	02-Feb-12	02-Feb-12	Canis lupus familiaris	-	BRdg335	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2012	unchanged	Canis lupus familiaris	unchanged		no	no	-	unchanged	
165	AB645847	AL_Cosmopolitan_AM1	Cosmopolitan AM1	USA	United States	-	-	-	2012	11923	19-Jan-12	13-Apr-12	Marmota monax	22248643	1088	United States	unchanged	-	unchanged	-	unchanged	1970	filled in	1979	updated	Marmota monax	filled in		yes	no	22248643	unchanged	1970s
771	JQ685967	AL_Cosmopolitan_AM1	Cosmopolitan AM1	USA	United States	-	-	-	2012	11923	11-Jul-12	11-Jul-12	Mephitis mephitis	22737076	NC1234	United States	unchanged	-	unchanged	-	unchanged	-	unchanged	2012	unchanged	Mephitis mephitis	unchanged		no	no	22737076	unchanged	
197	AF325473	AL_Cosmopolitan_AM1	Cosmopolitan AM1	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	USA3-SK	United States	filled in	-	unchanged	1981	filled in	1981	filled in	1981	updated	Mephitis mephitis	filled in		no	no	11483755	unchanged	country inferred from isolate name
198	AF325474	AL_Cosmopolitan_AM1	Cosmopolitan AM1	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	USA4-SK	United States	filled in	-	unchanged	1981	filled in	1981	filled in	1981	updated	Mephitis mephitis	filled in		no	no	11483755	unchanged	country inferred from isolate name
199	AF325475	AL_Cosmopolitan_AM1	Cosmopolitan AM1	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	USA2-SP	United States	filled in	-	unchanged	1981	filled in	1981	filled in	1981	updated	Ovis aries	filled in		no	no	11483755	unchanged	country inferred from isolate name
200	AF325476	AL_Cosmopolitan_AM1	Cosmopolitan AM1	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	USA1-DG	United States	filled in	-	unchanged	1981	filled in	1981	filled in	1981	updated	Canis lupus familiaris	filled in		no	no	11483755	unchanged	country inferred from isolate name
201	AF325477	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	MEX1-DG	Mexico	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Canis lupus familiaris	filled in		no	no	11483755	unchanged	country inferred from isolate name
14	AB110656	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2003	2066	18-Nov-03	16-Jan-09	-	15297743	BRct3	Brazil	unchanged	-	unchanged	1999	filled in	1999	filled in	1999	updated	Felis catus	filled in		no	no	15297743	unchanged	
15	AB110657	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2003	2066	18-Nov-03	10-Jan-09	Homo sapiens	15297743	BRhm6	Brazil	unchanged	-	unchanged	1999	filled in	1999	filled in	1999	updated	Homo sapiens	unchanged		no	no	15297743	unchanged	
16	AB110658	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2003	2066	18-Nov-03	16-Jan-09	-	15297743	BRdg10	Brazil	unchanged	-	unchanged	1987	filled in	1987	filled in	1987	updated	Canis lupus familiaris	filled in		no	no	15297743	unchanged	
17	AB110659	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2003	2066	18-Nov-03	16-Jan-09	-	15297743	BRdg12	Brazil	unchanged	-	unchanged	1989	filled in	1989	filled in	1989	updated	Canis lupus familiaris	filled in		no	no	15297743	unchanged	
18	AB110660	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2003	2066	18-Nov-03	16-Jan-09	-	15297743	BRhr18	Brazil	unchanged	-	unchanged	1999	filled in	1999	filled in	1999	updated	Equus caballus	filled in		no	no	15297743	unchanged	
19	AB110661	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2003	2066	18-Nov-03	16-Jan-09	-	15297743	BRpg28	Brazil	unchanged	-	unchanged	1998	filled in	1998	filled in	1998	updated	Sus scrofa domesticus	filled in		no	no	15297743	unchanged	
544	EU918614	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	9370PIDG/2005	Brazil	unchanged	Piaui	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
545	EU918615	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	9371PIDG/2005	Brazil	unchanged	Piaui	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
546	EU918616	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	9532PIDG/2005	Brazil	unchanged	Piaui	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
547	EU918617	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	9479ALDG/2005	Brazil	unchanged	Alagoas	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
548	EU918618	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	8578PADG/2005	Brazil	unchanged	Para	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
549	EU918619	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	8581PADG/2005	Brazil	unchanged	Para	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
550	EU918620	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	8575PADG/2005	Brazil	unchanged	Para	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
551	EU918621	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	8587PADG/2005	Brazil	unchanged	Para	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
552	EU918622	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	8589PADG/2005	Brazil	unchanged	Para	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
553	EU918623	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	8590PADG/2005	Brazil	unchanged	Para	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
554	EU918624	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	10561PBDG/2003	Brazil	unchanged	Paraiba	filled in	2003	filled in	2003	filled in	2003	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
555	EU918625	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	10565PBDG/2003	Brazil	unchanged	Paraiba	filled in	2003	filled in	2003	filled in	2003	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
