Number	sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	Notes
1	AY009098	AL_Asian_SEA1a	Asian SEA1a	CHN	China	Ningxia Province	-	-	2000	1575	03-Dec-00	01-Jan-00	-	-	CNX8601	China	unchanged	Ningxia Province	unchanged	1986	filled in	1986	filled in	1986	updated	Homo sapiens	filled in		no	no	-	unchanged	
2	AY009099	AL_Asian_SEA1a	Asian SEA1a	CHN	China	Ningxia Province	-	-	2000	1575	03-Dec-00	01-Jan-00	-	-	CNX8511	China	unchanged	Ningxia Province	unchanged	1986	filled in	1986	filled in	1986	updated	Homo sapiens	filled in		no	no	-	unchanged	
3	DQ105964	AL_Asian_SEA1a	Asian SEA1a	IND	India	Kerala	-	-	2005	446	23-Jul-05	26-Jul-16	-	19428313	R155	India	unchanged	Kerala	unchanged	2005	filled in	2005	filled in	2005	unchanged	Bos	filled in	Cattle	no	no	19428313	unchanged	
4	DQ108985	AL_Asian_SEA1a	Asian SEA1a	CHN	China	Chongqing	-	-	2005	363	23-Jul-05	26-Jul-16	-	-	CQ/wx-1	China	unchanged	Chongqing	unchanged	-	unchanged	2004	filled in	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	2004 - 2005 (from paper title
5	DQ108986	AL_Asian_SEA1a	Asian SEA1a	CHN	China	Chongqing	-	-	2005	363	23-Jul-05	26-Jul-16	-	-	CQ/qj-1	China	unchanged	Chongqing	unchanged	-	unchanged	2004	filled in	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	2004 - 2005 (from paper title
6	DQ108987	AL_Asian_SEA1a	Asian SEA1a	CHN	China	Chongqing	-	-	2005	363	23-Jul-05	26-Jul-16	-	-	CQ/fj-1	China	unchanged	Chongqing	unchanged	-	unchanged	2004	filled in	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	2004 - 2005 (from paper title
7	DQ108988	AL_Asian_SEA1a	Asian SEA1a	CHN	China	Chongqing	-	-	2005	363	23-Jul-05	26-Jul-16	-	-	CQ/ws-1	China	unchanged	Chongqing	unchanged	-	unchanged	2004	filled in	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	2004 - 2005 (from paper title
8	DQ108989	AL_Asian_SEA1a	Asian SEA1a	CHN	China	Chongqing	-	-	2005	363	23-Jul-05	26-Jul-16	-	-	CQ/wl-1	China	unchanged	Chongqing	unchanged	-	unchanged	2004	filled in	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	2004 - 2005 (from paper title
9	DQ490074	AL_Asian_SEA1a	Asian SEA1a	CHN	China	-	-	-	2007	609	01-Jan-07	03-Jan-07	Homo sapiens	-	CNX8511	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2007	unchanged	Homo sapiens	unchanged		no	no	-	unchanged	
10	DQ490075	AL_Asian_SEA1a	Asian SEA1a	CHN	China	-	-	-	2007	609	01-Jan-07	03-Jan-07	Homo sapiens	-	CNX8601	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2007	unchanged	Homo sapiens	unchanged		no	no	-	unchanged	
11	DQ646872	AL_Asian_SEA1a	Asian SEA1a	CHN	China	-	-	-	2007	894	01-Jan-07	01-Jan-07	Homo sapiens	-	CNX8511	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2007	unchanged	Homo sapiens	unchanged		no	no	-	unchanged	
12	DQ646873	AL_Asian_SEA1a	Asian SEA1a	CHN	China	-	-	-	2007	894	01-Jan-07	01-Jan-07	Homo sapiens	-	CNX8601	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2007	unchanged	Homo sapiens	unchanged		no	no	-	unchanged	
13	EF555102	AL_Asian_SEA1a	Asian SEA1a	CHN	China	-	-	-	2007	329	26-May-07	23-Jul-16	Canis familiaris	-	CQQJDN06	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2007	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	
14	EF555103	AL_Asian_SEA1a	Asian SEA1a	CHN	China	-	-	-	2007	329	26-May-07	23-Jul-16	Canis familiaris	-	CQWLDN02	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2007	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	
15	KC887337	AL_Asian_SEA1a	Asian SEA1a	-	-	-	2012	2012	2012	573	19-Jun-13	19-Jun-13	Canis familiaris	-	KVAFSU_BNG_RD-25	India	filled in	Tamil Nadu	filled in	2012	unchanged	2012	unchanged	2012	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	
16	KC887339	AL_Asian_SEA1a	Asian SEA1a	-	-	-	2012	2012	2012	586	19-Jun-13	19-Jun-13	Canis familiaris	-	KVAFSU_BNG_RD-08	India	filled in	Kerala	filled in	2012	unchanged	2012	unchanged	2012	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	
