sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	vaccine	pubmedID_edit	pubmed_update	Notes
AB041964	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	1353	29-Aug-03	25-Sep-03	-	12083333	SRL1032	Sri Lanka	unchanged	-	unchanged	-	unchanged	-	unchanged	2003	unchanged	Canis aureus	filled in		no	no	12083333	unchanged	No access to actual paper, found by googling
AB041965	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	1353	29-Aug-03	25-Sep-03	-	12083333	SRL1036	Sri Lanka	unchanged	-	unchanged	-	unchanged	-	unchanged	2003	unchanged	Homo sapiens	filled in		no	no	12083333	unchanged	No access to actual paper, found by googling
AB041966	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	1353	29-Aug-03	25-Sep-03	-	12083333	SRL1060	Sri Lanka	unchanged	-	unchanged	-	unchanged	-	unchanged	2003	unchanged	Canis lupus familiaris	filled in		no	no	12083333	unchanged	No access to actual paper, found by googling
AB041967	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	1353	29-Aug-03	25-Sep-03	-	12083333	SRL1077	Sri Lanka	unchanged	-	unchanged	-	unchanged	-	unchanged	2003	unchanged	Herpestidae	filled in		no	no	12083333	unchanged	No access to actual paper, found by googling
AB041968	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	1353	29-Aug-03	25-Sep-03	-	12083333	SRL1143	Sri Lanka	unchanged	-	unchanged	-	unchanged	-	unchanged	2003	unchanged	Felis catus	filled in		no	no	12083333	unchanged	No access to actual paper, found by googling
AB041969	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	1353	29-Aug-03	25-Sep-03	-	12083333	SRL1145	Sri Lanka	unchanged	-	unchanged	-	unchanged	-	unchanged	2003	unchanged	Bubalus bubalis	filled in		no	no	12083333	unchanged	No access to actual paper, found by googling
AF325489	AL_Indian-Sub	Indian-Sub	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	NEP1-DG	Nepal	filled in	-	unchanged	1989	filled in	1989	filled in	1989	updated	Canis lupus familiaris	filled in		no	no	11483755	unchanged	
AF334790	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2001	1206	22-Feb-01	27-Feb-01	-	-	-	India	unchanged	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	-	unchanged		no	no	-	unchanged	
AF369309	AL_Indian-Sub	Indian-Sub	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Canis familiaris	12127791	I15.DG	India	filled in	-	unchanged	1995	filled in	1995	filled in	1995	updated	Canis familiaris	unchanged		no	no	12127791	unchanged	
AF369320	AL_Indian-Sub	Indian-Sub	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Canis familiaris	12127791	V113.DG	Sri Lanka	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis familiaris	unchanged		no	no	12127791	unchanged	
