sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	vaccine	pubmedID_edit	pubmed_update	Notes
AY956319	AL_Arctic_AL1a	Arctic AL1a	DEU	Germany	-	-	-	2005	11928	30-Mar-05	30-Mar-05	-	-	-	Germany	unchanged	-	unchanged	-	unchanged	-	unchanged	2005	unchanged	Homo sapiens	filled in		no	no	-	unchanged	Ex India, organ recipient
EF437215	AL_Arctic_AL1a	Arctic AL1a	IND	India	-	-	-	2007	11928	07-Mar-07	07-Mar-07	Homo sapiens	-	NNV-RAB-H	India	unchanged	-	unchanged	2007	filled in	2007	filled in	2007	updated	Homo sapiens	unchanged		no	no	-	unchanged	
LT909539	AL_Arctic_AL1a	Arctic AL1a	-	-	-	-	-	2018	11928	29-Jan-18	29-Jan-18	-	-	13182	India	filled in	-	unchanged	2002	filled in	2002	filled in	2002	updated	Canis familiaris	filled in		no	no	-	unchanged	Found by googling in 29357361
LT909541	AL_Arctic_AL1a	Arctic AL1a	-	-	-	-	-	2018	11928	29-Jan-18	29-Jan-18	-	-	13086	Pakistan	filled in	-	unchanged	1984	filled in	1984	filled in	1984	updated	Canis familiaris	filled in		no	no	-	unchanged	
LT909545	AL_Arctic_AL1b	Arctic AL1b	-	-	-	-	-	2018	11928	29-Jan-18	29-Jan-18	-	-	20282	Afghanistan	filled in	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		no	no	-	unchanged	
LT598537	AL_Arctic_A	Arctic A	-	-	-	-	-	2016	11926	08-Jul-16	08-Jul-16	-	-	13232-NT-F	Canada	filled in	Northwest Territories	filled in	1977	filled in	1977	filled in	1977	updated	Vulpes lagopus	filled in		no	no	-	unchanged	Found by googling in 27459154
LT598539	AL_Arctic_A	Arctic A	-	-	-	-	-	2016	11926	08-Jul-16	08-Jul-16	-	-	Gra_01.13-2-F	Greenland	filled in	Upernavik	filled in	2013	filled in	2013	filled in	2013	updated	Vulpes lagopus	filled in		no	no	-	unchanged	Found by googling in 27459156
LT598541	AL_Arctic_A	Arctic A	-	-	-	-	-	2016	11926	08-Jul-16	08-Jul-16	-	-	Gra_03.13-1-F	Greenland	filled in	Qaasuitsup	filled in	2013	filled in	2013	filled in	2013	updated	Vulpes lagopus	filled in		no	no	-	unchanged	Found by googling in 27459158
LT598542	AL_Arctic_A	Arctic A	-	-	-	-	-	2016	11926	08-Jul-16	08-Jul-16	-	-	Gra_03.14-4-F	Greenland	filled in	Kangerlussuaq	filled in	2014	filled in	2014	filled in	2014	updated	Vulpes lagopus	filled in		no	no	-	unchanged	Found by googling in 27459159
LT598543	AL_Arctic_A	Arctic A	-	-	-	-	-	2016	11926	08-Jul-16	08-Jul-16	-	-	Gra_01.14-3-F	Greenland	filled in	Kangaatsiaq	filled in	2014	filled in	2014	filled in	2014	updated	Vulpes lagopus	filled in		no	no	-	unchanged	Found by googling in 27459160
LT909550	AL_Arctic_A	Arctic A	-	-	-	-	-	2018	11926	29-Jan-18	29-Jan-18	-	-	13020	Norway	filled in	-	unchanged	2000	filled in	2000	filled in	2000	updated	Vulpes lagopus	filled in		no	no	-	unchanged	
LT598538	AL_Arctic_A	Arctic A	-	-	-	-	-	2016	11925	08-Jul-16	08-Jul-16	-	-	Gra_02.13-2-F	Greenland	filled in	Upernavik	filled in	2013	filled in	2013	filled in	2013	updated	Vulpes lagopus	filled in		no	no	-	unchanged	Found by googling in 27459155
LT598540	AL_Arctic_A	Arctic A	-	-	-	-	-	2016	11925	08-Jul-16	08-Jul-16	-	-	Gra_02.14-4-F	Greenland	filled in	Kangerlussuaq	filled in	2014	filled in	2014	filled in	2014	updated	Vulpes lagopus	filled in		no	no	-	unchanged	Found by googling in 27459157
FJ415313	AL_Arctic_AL2	Arctic AL2	CHN	China	-	-	-	2008	5367	18-Nov-08	12-Jan-12	Canis familiaris	20546631	NeiMeng925	China	unchanged	Zhengxiangbaiqi	filled in	2007	filled in	2007	filled in	2007	updated	Nyctereutes procyonoides	updated		no	no	20546631	unchanged	Inner mongolia? Raccoon Dog - not Dog as pulled down from genbank (listed there correctly)
U11754	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	2412	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	90RABN5850	Canada	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Fox? Maybe skunk? Found in paper by googling
U11753	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	2411	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	90RABN5803	Canada	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Found in paper by googling
U03765	AL_Arctic_A	Arctic A	-	-	-	-	-	1993	2093	03-Dec-93	10-May-95	Vulpes vulpes	7931145	Ontario Type 5 - 8480FX	Canada	filled in	Ontario	filled in	-	unchanged	-	unchanged	1993	unchanged	Vulpes vulpes	unchanged		no	no	7931145	unchanged	From isolate name
U03766	AL_Arctic_A	Arctic A	-	-	-	-	-	1993	2093	03-Dec-93	10-May-95	Canis familiaris	7931145	Arctic A1 - 1090DG	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1993	unchanged	Canis familiaris	unchanged		no	no	7931145	unchanged	
U03767	AL_Arctic_A	Arctic A	-	-	-	-	-	1993	2093	03-Dec-93	10-May-95	Canis familiaris	7931145	Hudson Bay - 4055DG	Canada	filled in	Hudson Bay	filled in	-	unchanged	-	unchanged	1993	unchanged	Canis familiaris	unchanged		no	no	7931145	unchanged	From isolate name
U11755	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	2093	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN1578	Canada	filled in	-	unchanged	-	unchanged	-	unchanged	1994	unchanged	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Fox? Maybe skunk? Found in paper by googling
U11756	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	2093	17-Jul-94	12-Feb-01	Vulpes vulpes; 90RABN9285	10579454	-	Canada	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	updated		no	no	10579454	unchanged	FORMATTING ISSUE - NO ISOLATE, HOST LISTED AS Vulpes vulpes; 90RABN9285
U11757	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	2093	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN0783	Canada	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Found in paper by googling
U11758	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	2093	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	90RABN9196	Canada	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Found in paper by googling
AF325486	AL_Arctic_A	Arctic A	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	ARC1-PF	Arctic Circle	filled in	-	unchanged	1981	filled in	1981	filled in	1981	updated	Alopex	filled in	Polar fox	no	no	11483755	unchanged	
EU284095	AL_Arctic_AL2	Arctic AL2	CHN	China	-	-	-	2007	2038	19-Dec-07	12-Jan-12	Canis familiaris	20546631	NeiMeng927A	China	unchanged	Zhengxiangbaiqi	filled in	2007	filled in	2007	filled in	2007	unchanged	Nyctereutes procyonoides	updated		no	no	20546631	unchanged	Inner mongolia? Raccoon Dog - not Dog as pulled down from genbank (listed there correctly)
EU284096	AL_Arctic_AL2	Arctic AL2	CHN	China	-	-	-	2007	2038	19-Dec-07	12-Jan-12	Canis familiaris	20546631	NeiMeng927B	China	unchanged	Zhengxiangbaiqi	filled in	2007	filled in	2007	filled in	2007	unchanged	Nyctereutes procyonoides	updated		no	no	20546631	unchanged	Inner mongolia? Raccoon Dog - not Dog as pulled down from genbank (listed there correctly)
EU284097	AL_Arctic_AL2	Arctic AL2	CHN	China	-	-	-	2007	2038	19-Dec-07	12-Jan-12	Canis familiaris	20546631	NeiMeng1025B	China	unchanged	Zhengxiangbaiqi	filled in	2007	filled in	2007	filled in	2007	unchanged	Nyctereutes procyonoides	updated		no	no	20546631	unchanged	Inner mongolia? Raccoon Dog - not Dog as pulled down from genbank (listed there correctly)
EU284098	AL_Arctic_AL2	Arctic AL2	CHN	China	-	-	-	2007	2038	19-Dec-07	12-Jan-12	Canis familiaris	20546631	NeiMeng1025C	China	unchanged	Zhengxiangbaiqi	filled in	2007	filled in	2007	filled in	2007	unchanged	Nyctereutes procyonoides	updated		no	no	20546631	unchanged	Inner mongolia? Raccoon Dog - not Dog as pulled down from genbank (listed there correctly)
DQ103705	AL_Arctic_AL1a	Arctic AL1a	IND	India	-	-	-	2005	1674	30-Jul-05	30-Jul-05	Canis familiaris	-	-	India	unchanged	-	unchanged	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	-	unchanged	
