recordID	sequenceID	alignment_name	alignment_displayName	m49_country.id	m49_country.display_name	gb_place_sampled	collection_year	earliest_collection_year	latest_collection_year	gb_length	gb_create_date	gb_update_date	host	gb_pubmed_id	isolate	country_edit	country_update	place_edit	place_update	collection_year_edit	collection_year_update	earliest_collection_edit	earliest_collection_update	latest_collection_edit	latest_collection_update	host_edit	host_update	host_common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	Notes
15	AY062042	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	MAR	Morocco	-	-	-	2002	414	30-Mar-02	15-Nov-02	-	12417947	-	Morocco	unchanged	-	unchanged	-	unchanged	-	unchanged	2002	unchanged	Vulpes vulpes	filled in		no	no	12417947	unchanged	
16	AY062090	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	MAR	Morocco	-	-	-	2002	405	30-Mar-02	15-Nov-02	-	12417947	-	Morocco	unchanged	-	unchanged	-	unchanged	-	unchanged	2002	unchanged	Vulpes vulpes	filled in		no	no	12417947	unchanged	
19	AY245852	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2004	400	11-May-04	25-Jul-16	-	15160845	-	Tunisia	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Canis lupus familiaris	filled in		no	no	15160845	unchanged	
116	GU798120	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1350	29-Nov-10	25-Jul-16	-	21060816	08001MAR/2007	Morocco	filled in	Chichaoua	filled in	2007	filled in	2007	filled in	2007	updated	Canis lupus familiaris	filled in		no	no	21060816	unchanged	
403	GU798407	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1073	18-Dec-10	18-Dec-10	-	21060816	08001MAR/2007	Morocco	filled in	Chichaoua	filled in	2007	filled in	2007	filled in	2007	updated	Canis lupus familiaris	filled in		no	no	21060816	unchanged	
690	GU798694	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	639	18-Dec-10	25-Jul-16	-	21060816	08001MAR/2007	Morocco	filled in	Chichaoua	filled in	2007	filled in	2007	filled in	2007	updated	Canis lupus familiaris	filled in		no	no	21060816	unchanged	
172	GU798176	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1350	29-Nov-10	25-Jul-16	-	21060816	08002MAR/2007	Morocco	filled in	Azilal	filled in	2007	filled in	2007	filled in	2007	updated	Capra	filled in	Caprine	no	no	21060816	unchanged	Caprine
459	GU798463	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1073	18-Dec-10	18-Dec-10	-	21060816	08002MAR/2007	Morocco	filled in	Azilal	filled in	2007	filled in	2007	filled in	2007	updated	Capra	filled in	Caprine	no	no	21060816	unchanged	Caprine
746	GU798750	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	639	18-Dec-10	25-Jul-16	-	21060816	08002MAR/2007	Morocco	filled in	Azilal	filled in	2007	filled in	2007	filled in	2007	updated	Capra	filled in	Caprine	no	no	21060816	unchanged	Caprine
165	GU798169	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1350	29-Nov-10	25-Jul-16	-	21060816	08003MAR/2003	Morocco	filled in	Marrakech	filled in	2003	filled in	2003	filled in	2003	updated	Canis lupus familiaris	filled in		no	no	21060816	unchanged	
452	GU798456	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1073	18-Dec-10	18-Dec-10	-	21060816	08003MAR/2003	Morocco	filled in	Marrakech	filled in	2003	filled in	2003	filled in	2003	updated	Canis lupus familiaris	filled in		no	no	21060816	unchanged	
739	GU798743	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	639	18-Dec-10	25-Jul-16	-	21060816	08003MAR/2003	Morocco	filled in	Marrakech	filled in	2003	filled in	2003	filled in	2003	updated	Canis lupus familiaris	filled in		no	no	21060816	unchanged	
155	GU798159	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1350	29-Nov-10	25-Jul-16	-	21060816	08004MAR/2007	Morocco	filled in	Ouarzazate	filled in	2007	filled in	2007	filled in	2007	updated	Equus	filled in	Equine	no	no	21060816	unchanged	Equine
442	GU798446	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1073	18-Dec-10	18-Dec-10	-	21060816	08004MAR/2007	Morocco	filled in	Ouarzazate	filled in	2007	filled in	2007	filled in	2007	updated	Equus	filled in	Equine	no	no	21060816	unchanged	Equine
729	GU798733	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	639	18-Dec-10	25-Jul-16	-	21060816	08004MAR/2007	Morocco	filled in	Ouarzazate	filled in	2007	filled in	2007	filled in	2007	updated	Equus	filled in	Equine	no	no	21060816	unchanged	Equine
142	GU798146	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1350	29-Nov-10	25-Jul-16	-	21060816	08005MAR/2007	Morocco	filled in	Marrakech	filled in	2007	filled in	2007	filled in	2007	updated	Equus	filled in	Equine	no	no	21060816	unchanged	Equine
429	GU798433	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1073	18-Dec-10	18-Dec-10	-	21060816	08005MAR/2007	Morocco	filled in	Marrakech	filled in	2007	filled in	2007	filled in	2007	updated	Equus	filled in	Equine	no	no	21060816	unchanged	Equine
716	GU798720	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	640	18-Dec-10	25-Jul-16	-	21060816	08005MAR/2007	Morocco	filled in	Marrakech	filled in	2007	filled in	2007	filled in	2007	updated	Equus	filled in	Equine	no	no	21060816	unchanged	Equine
154	GU798158	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1350	29-Nov-10	25-Jul-16	-	21060816	08006MAR/2007	Morocco	filled in	Ouarzazate	filled in	2007	filled in	2007	filled in	2007	updated	Canis lupus familiaris	filled in		no	no	21060816	unchanged	
441	GU798445	AL_Cosmopolitan_AF1a	Cosmopolitan AF1a	-	-	-	-	-	2010	1073	18-Dec-10	18-Dec-10	-	21060816	08006MAR/2007	Morocco	filled in	Ouarzazate	filled in	2007	filled in	2007	filled in	2007	updated	Canis lupus familiaris	filled in		no	no	21060816	unchanged	
