recordID	sequenceID	alignment_name	alignment_displayName	m49_country.id	m49_country.display_name	gb_place_sampled	collection_year	earliest_collection_year	latest_collection_year	gb_length	gb_create_date	gb_update_date	host	gb_pubmed_id	isolate	country_edit	country_update	place_edit	place_update	collection_year_edit	collection_year_update	earliest_collection_edit	earliest_collection_update	latest_collection_edit	latest_collection_update	host_edit	host_update	host_common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	Notes
1	AB284507	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2000	2000	2000	400	29-Nov-06	14-Jul-16	-	-	ZAMRAV31	Zambia	unchanged	-	unchanged	2000	unchanged	2000	unchanged	2000	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
2	AB284508	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2005	2005	2005	400	29-Nov-06	14-Jul-16	-	-	ZAMRAV09/05	Zambia	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
3	AB284509	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2000	2000	2000	1353	29-Nov-06	16-Jan-09	-	-	ZAMRAV51/00	Zambia	unchanged	-	unchanged	2000	unchanged	2000	unchanged	2000	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
4	AB284510	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	1999	1999	1999	1353	29-Nov-06	16-Jan-09	-	-	ZAMRAV30/99	Zambia	unchanged	-	unchanged	1999	unchanged	1999	unchanged	1999	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
5	AB284511	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2000	2000	2000	1353	29-Nov-06	16-Jan-09	-	-	ZAMRAV20/00	Zambia	unchanged	-	unchanged	2000	unchanged	2000	unchanged	2000	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
6	AB284512	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2005	2005	2005	1353	29-Nov-06	16-Jan-09	-	-	ZAMRAV08/05	Zambia	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
7	AB284513	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2005	2005	2005	1353	29-Nov-06	16-Jan-09	-	-	ZAMRAV05/06	Zambia	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
8	AB284514	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2004	2004	2004	1353	29-Nov-06	16-Jan-09	-	-	ZAMRAV23/04	Zambia	unchanged	-	unchanged	2004	unchanged	2004	unchanged	2004	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
9	AB284515	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2000	2000	2000	1353	29-Nov-06	16-Jan-09	-	-	ZAMRAV12/00	Zambia	unchanged	-	unchanged	2000	unchanged	2000	unchanged	2000	unchanged	Bos taurus	filled in		no	no	-	unchanged	cow'
10	AB284516	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2001	2001	2001	1353	29-Nov-06	16-Jan-09	-	-	ZAMDC163/01	Zambia	unchanged	-	unchanged	2001	unchanged	2001	unchanged	2001	unchanged	Bos taurus	filled in		no	no	-	unchanged	cow'
11	AB285215	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZMB	Zambia	-	2000	2000	2000	5339	02-Dec-06	16-Jan-09	-	-	ZAMRAV51/00	Zambia	unchanged	-	unchanged	2000	unchanged	2000	unchanged	2000	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
12	AB505874	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	UGA	Uganda	Nakasongola	2003	2003	2003	203	09-Oct-09	24-Jul-16	-	19836426	UGdg1	Uganda	unchanged	Nakasongola	unchanged	2003	unchanged	2003	unchanged	2003	unchanged	Canis lupus familiaris	filled in		no	no	19836426	unchanged	
13	AB505875	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	UGA	Uganda	Wakiso	2003	2003	2003	203	09-Oct-09	24-Jul-16	-	19836426	UGgt6	Uganda	unchanged	Wakiso	unchanged	2003	unchanged	2003	unchanged	2003	unchanged	Capra	filled in	Goat	no	no	19836426	unchanged	
